TrainStep,TrainLoss,TrainStep,TrainAccuracy
1,8.6885,1,0.45
2,643.551,2,0.14
3,512.639,3,0.12
4,208.41,4,0.11
5,83.8474,5,0.15
6,46.6136,6,0.14
7,35.9077,7,0.09
8,30.3528,8,0.11
9,18.4893,9,0.14
10,13.4458,10,0.12
11,10.672,11,0.19
12,18.3963,12,0.23
13,8.12428,13,0.25
14,3.94673,14,0.26
15,4.32711,15,0.34
16,3.08779,16,0.41
17,3.32272,17,0.47
18,3.31485,18,0.29
19,3.70589,19,0.26
20,6.58293,20,0.38
21,4.08589,21,0.26
22,3.87618,22,0.37
23,3.50417,23,0.44
24,2.40829,24,0.4
25,2.40167,25,0.42
26,2.84696,26,0.58
27,2.22731,27,0.67
28,2.0357,28,0.73
29,1.93435,29,0.6
30,2.60495,30,0.48
31,3.86416,31,0.34
32,4.44554,32,0.27
33,6.285,33,0.28
34,3.5806,34,0.12
35,5.89331,35,0.13
36,20.7892,36,0.16
37,8.96058,37,0.28
38,7.6286,38,0.14
39,10.1052,39,0.15
40,3.85065,40,0.19
41,6.02005,41,0.2
42,3.26671,42,0.23
43,4.14034,43,0.32
44,2.2962,44,0.51
45,2.18721,45,0.54
46,2.18164,46,0.54
47,2.15959,47,0.43
48,2.23674,48,0.34
49,2.26714,49,0.38
50,2.29852,50,0.51
51,2.12379,51,0.41
52,2.58027,52,0.19
53,2.65683,53,0.46
54,2.23017,54,0.56
55,2.20542,55,0.51
56,2.15798,56,0.53
57,2.10592,57,0.39
58,2.66783,58,0.16
59,4.66159,59,0.24
60,4.72425,60,0.14
61,6.92816,61,0.07
62,35.5275,62,0.09
63,12.0864,63,0.17
64,29.2442,64,0.14
65,45.8072,65,0.17
66,10.7759,66,0.15
67,5.83085,67,0.15
68,6.0237,68,0.16
69,2.75576,69,0.29
70,2.33827,70,0.35
71,2.20979,71,0.55
72,2.26882,72,0.4
73,2.18375,73,0.35
74,2.26185,74,0.39
75,2.16672,75,0.48
76,2.06456,76,0.33
77,2.3337,77,0.21
78,2.70619,78,0.08
79,2.33923,79,0.27
80,2.29859,80,0.55
81,2.21833,81,0.53
82,2.16306,82,0.6
83,2.06539,83,0.45
84,2.15668,84,0.23
85,2.48385,85,0.27
86,2.21401,86,0.42
87,2.20232,87,0.32
88,2.20917,88,0.24
89,2.42253,89,0.21
90,3.10979,90,0.25
91,2.41357,91,0.31
92,2.26158,92,0.48
93,2.14373,93,0.25
94,2.421,94,0.2
95,2.3318,95,0.37
96,2.22003,96,0.4
97,2.21,97,0.56
98,2.12611,98,0.35
99,2.27212,99,0.19
100,3.78162,100,0.17
101,2.96947,101,0.25
102,2.63761,102,0.27
103,2.30586,103,0.28
104,2.52648,104,0.13
105,3.07905,105,0.21
106,2.44481,106,0.27
107,2.40636,107,0.31
108,2.21974,108,0.51
109,2.26735,109,0.32
110,2.19286,110,0.17
111,3.11375,111,0.14
112,2.62914,112,0.15
113,4.52326,113,0.12
114,3.38379,114,0.14
115,2.72072,115,0.21
116,2.52908,116,0.21
117,2.39406,117,0.19
118,2.32276,118,0.21
119,2.31196,119,0.5
120,2.22218,120,0.43
121,2.12884,121,0.35
122,2.3633,122,0.13
123,2.73655,123,0.09
124,2.57978,124,0.14
125,2.30491,125,0.23
126,2.4422,126,0.16
127,2.51064,127,0.21
128,2.31425,128,0.4
129,2.31885,129,0.35
130,2.24053,130,0.46
131,2.25518,131,0.31
132,2.24863,132,0.22
133,2.25055,133,0.11
134,2.36846,134,0.13
135,2.34023,135,0.29
136,2.39028,136,0.25
137,2.23827,137,0.45
138,2.16989,138,0.23
139,2.95387,139,0.15
140,2.69539,140,0.1
141,2.66194,141,0.15
142,2.49192,142,0.12
143,2.29833,143,0.36
144,2.23052,144,0.26
145,2.38883,145,0.11
146,2.93462,146,0.1
147,2.25272,147,0.18
148,2.33495,148,0.18
149,2.56779,149,0.16
150,2.31275,150,0.25
151,2.26455,151,0.33
152,2.24733,152,0.2
153,2.18862,153,0.15
154,3.79521,154,0.1
155,2.45796,155,0.18
156,2.83859,156,0.15
157,2.31065,157,0.39
158,2.21354,158,0.2
159,3.29987,159,0.15
160,3.34152,160,0.17
161,2.55617,161,0.08
162,2.50473,162,0.19
163,2.29482,163,0.44
164,2.26969,164,0.23
165,2.41742,165,0.13
166,2.57878,166,0.15
167,2.33633,167,0.4
168,2.27585,168,0.37
169,2.26854,169,0.29
170,2.28766,170,0.23
171,2.3491,171,0.26
172,2.20666,172,0.34
173,2.06133,173,0.17
174,3.93894,174,0.07
175,2.43719,175,0.14
176,2.28592,176,0.19
177,2.4117,177,0.17
178,2.75803,178,0.2
179,2.29406,179,0.29
180,2.23471,180,0.29
181,2.09122,181,0.22
182,3.4222,182,0.12
183,3.17582,183,0.14
184,3.24795,184,0.14
185,2.4164,185,0.18
186,2.26975,186,0.19
187,2.27222,187,0.25
188,2.15516,188,0.28
189,2.0353,189,0.26
190,4.15924,190,0.14
191,2.77765,191,0.11
192,2.38285,192,0.2
193,2.26809,193,0.22
194,2.25607,194,0.2
195,2.63005,195,0.12
196,2.35895,196,0.16
197,2.26354,197,0.23
198,2.34518,198,0.21
199,2.26961,199,0.17
200,2.08837,200,0.19
201,3.0313,201,0.09
202,2.43835,202,0.28
203,2.29379,203,0.32
204,2.29557,204,0.31
205,2.2398,205,0.32
206,2.1424,206,0.26
207,2.20637,207,0.16
208,2.61799,208,0.1
209,2.41354,209,0.19
210,2.27497,210,0.34
211,2.27467,211,0.29
212,2.20329,212,0.37
213,2.07928,213,0.27
214,3.73157,214,0.16
215,3.15878,215,0.18
216,2.26561,216,0.21
217,2.47301,217,0.17
218,2.31166,218,0.35
219,2.22332,219,0.3
220,2.2331,220,0.13
221,2.50978,221,0.08
222,2.27712,222,0.18
223,2.503,223,0.32
224,2.25851,224,0.32
225,2.22266,225,0.26
226,2.11341,226,0.32
227,2.76054,227,0.13
228,2.27642,228,0.2
229,2.21083,229,0.29
230,2.04854,230,0.25
231,2.35546,231,0.1
232,3.11029,232,0.16
233,2.18239,233,0.22
234,2.36284,234,0.09
235,2.30959,235,0.12
236,2.2853,236,0.24
237,2.1954,237,0.37
238,2.28796,238,0.28
239,2.25524,239,0.43
240,2.17794,240,0.24
241,2.20104,241,0.25
242,2.31177,242,0.17
243,2.18989,243,0.32
244,2.19574,244,0.26
245,2.05295,245,0.36
246,2.07133,246,0.16
247,3.0347,247,0.2
248,2.2615,248,0.33
249,2.19704,249,0.25
250,2.36039,250,0.16
251,2.28304,251,0.17
252,2.34725,252,0.09
253,2.24655,253,0.21
254,2.19212,254,0.28
255,2.01424,255,0.42
256,1.99481,256,0.25
257,2.64362,257,0.22
258,2.33948,258,0.14
259,2.30445,259,0.14
260,2.3131,260,0.23
261,2.27261,261,0.48
262,2.14917,262,0.38
263,2.13218,263,0.28
264,2.25657,264,0.22
265,2.40567,265,0.13
266,2.21298,266,0.39
267,2.1308,267,0.32
268,2.27444,268,0.24
269,2.05743,269,0.38
270,2.18463,270,0.24
271,2.37241,271,0.16
272,2.26751,272,0.21
273,2.1683,273,0.24
274,2.61842,274,0.28
275,2.2025,275,0.34
276,2.0887,276,0.27
277,2.42005,277,0.24
278,2.27527,278,0.13
279,2.46465,279,0.17
280,2.06701,280,0.24
281,2.47661,281,0.23
282,2.22256,282,0.17
283,2.20613,283,0.22
284,2.23714,284,0.2
285,2.18505,285,0.36
286,2.10002,286,0.36
287,1.92782,287,0.25
288,2.80399,288,0.14
289,3.17093,289,0.15
290,2.32782,290,0.21
291,2.11271,291,0.27
292,3.52253,292,0.11
293,5.22641,293,0.22
294,2.2758,294,0.34
295,2.20827,295,0.33
296,2.02208,296,0.33
297,2.10364,297,0.19
298,3.32693,298,0.08
299,2.65253,299,0.21
300,2.26934,300,0.41
301,2.19163,301,0.4
302,2.11079,302,0.36
303,2.12181,303,0.2
304,2.65151,304,0.16
305,2.26077,305,0.24
306,2.11005,306,0.33
307,2.19405,307,0.12
308,2.26893,308,0.32
309,2.13592,309,0.43
310,1.95156,310,0.43
311,2.08792,311,0.38
312,2.12498,312,0.33
313,1.97706,313,0.31
314,2.27807,314,0.23
315,2.18673,315,0.23
316,2.15054,316,0.18
317,2.25191,317,0.19
318,2.10537,318,0.3
319,2.05284,319,0.41
320,1.90496,320,0.39
321,2.39743,321,0.23
322,2.3449,322,0.17
323,2.21685,323,0.32
324,2.13937,324,0.37
325,2.02093,325,0.4
326,2.08761,326,0.42
327,1.96004,327,0.42
328,2.01114,328,0.34
329,2.02733,329,0.47
330,1.86194,330,0.43
331,2.0676,331,0.21
332,2.05373,332,0.22
333,2.27367,333,0.15
334,2.35067,334,0.26
335,2.07338,335,0.36
336,2.26095,336,0.27
337,2.073,337,0.31
338,2.01923,338,0.42
339,1.90287,339,0.48
340,2.072,340,0.21
341,2.05063,341,0.24
342,2.01542,342,0.34
343,1.95316,343,0.47
344,2.01966,344,0.34
345,2.00238,345,0.26
346,2.21518,346,0.21
347,2.3478,347,0.16
348,2.2261,348,0.31
349,2.14093,349,0.31
350,2.08929,350,0.24
351,2.21804,351,0.22
352,2.11307,352,0.25
353,2.2999,353,0.18
354,2.15948,354,0.34
355,1.92681,355,0.39
356,2.17105,356,0.25
357,2.01327,357,0.35
358,2.08036,358,0.25
359,2.10629,359,0.28
360,2.0646,360,0.32
361,2.09193,361,0.22
362,2.15256,362,0.22
363,1.98998,363,0.31
364,2.24572,364,0.26
365,2.0781,365,0.3
366,2.0149,366,0.39
367,1.97481,367,0.32
368,1.89449,368,0.4
369,1.87509,369,0.36
370,2.20266,370,0.33
371,2.02846,371,0.33
372,1.9986,372,0.41
373,1.8921,373,0.41
374,1.89722,374,0.37
375,2.00034,375,0.26
376,2.44084,376,0.3
377,1.95811,377,0.38
378,1.9999,378,0.35
379,1.9128,379,0.39
380,1.87244,380,0.45
381,1.91953,381,0.42
382,1.8469,382,0.43
383,1.9164,383,0.36
384,1.90005,384,0.5
385,1.75738,385,0.47
386,2.28102,386,0.32
387,2.10408,387,0.24
388,2.1517,388,0.34
389,2.07493,389,0.43
390,1.97299,390,0.43
391,1.87662,391,0.41
392,2.03646,392,0.34
393,2.09275,393,0.33
394,1.90396,394,0.5
395,1.82162,395,0.48
396,1.95201,396,0.35
397,2.03772,397,0.24
398,2.04377,398,0.31
399,1.85988,399,0.39
400,1.96478,400,0.45
401,1.85343,401,0.41
402,1.89751,402,0.4
403,2.04748,403,0.3
404,2.409,404,0.22
405,2.12748,405,0.36
406,1.97496,406,0.46
407,1.8568,407,0.58
408,1.91108,408,0.37
409,1.87192,409,0.35
410,2.10918,410,0.3
411,2.10859,411,0.3
412,1.95521,412,0.57
413,1.88369,413,0.41
414,1.86552,414,0.3
415,2.29262,415,0.22
416,2.06691,416,0.33
417,1.8873,417,0.4
418,2.06503,418,0.31
419,1.94836,419,0.46
420,1.90505,420,0.48
421,1.83986,421,0.44
422,1.94819,422,0.32
423,2.18342,423,0.28
424,2.0923,424,0.38
425,2.09229,425,0.22
426,2.46701,426,0.18
427,2.04818,427,0.36
428,1.93209,428,0.44
429,1.87195,429,0.49
430,2.02073,430,0.49
431,2.02048,431,0.37
432,1.87703,432,0.44
433,2.09454,433,0.38
434,1.85676,434,0.35
435,2.57324,435,0.28
436,2.15011,436,0.34
437,2.13478,437,0.35
438,1.96682,438,0.36
439,1.95899,439,0.41
440,1.96019,440,0.42
441,1.90996,441,0.42
442,1.81707,442,0.53
443,1.76159,443,0.55
444,1.84157,444,0.39
445,2.24286,445,0.26
446,1.95948,446,0.35
447,1.90169,447,0.37
448,2.35497,448,0.21
449,2.22277,449,0.42
450,2.04402,450,0.32
451,1.90459,451,0.38
452,1.80164,452,0.51
453,1.69305,453,0.58
454,2.06138,454,0.45
455,1.89826,455,0.44
456,1.97172,456,0.36
457,1.81169,457,0.55
458,1.66744,458,0.5
459,2.08531,459,0.38
