Testing Loss	0.658327	Testing Loss	Testing Accuracy	0.88530001
Train Step	Train Loss	Train Step	Accuracy	
10	11.827929	10	0.2	
20	1.71345	20	0.68	
30	1.629704	30	0.67	
40	2.892388	40	0.57	
50	2.425671	50	0.42	
60	0.836176	60	0.73	
70	8.187242	70	0.09	
80	0.859001	80	0.83	
90	2.338121	90	0.38	
100	1.622738	100	0.52	
110	1.693754	110	0.37	
120	1.355245	120	0.54	
130	2.592304	130	0.34	
140	0.416041	140	0.85	
150	1.152722	150	0.71	
160	0.749954	160	0.79	
170	3.318738	170	0.22	
180	0.634904	180	0.77	
190	0.004572	190	1	
200	0.151681	200	0.97	
210	0.232385	210	0.94	
220	0.196066	220	0.96	
230	0.206571	230	0.9	
240	0.033938	240	1	
250	0.146224	250	0.98	
260	0.146383	260	0.96	
270	0.163492	270	0.94	
280	0.231402	280	0.93	
290	0.092204	290	0.97	
300	0.163193	300	0.95	
310	0.023783	310	1	
320	0.087689	320	0.97	
330	0.120453	330	0.95	
340	0.014504	340	1	
350	0.041141	350	0.99	
360	0.00188	360	1	
370	0.056208	370	0.98	
380	0.057969	380	0.99	
390	0.339973	390	0.9	
400	0.005286	400	1	
410	0.128518	410	0.95	
420	0.065251	420	0.97	
430	0.57793	430	0.82	
440	0.003441	440	1	
450	0.036315	450	0.98	
460	0.000983	460	1	
470	0.159885	470	0.95	
480	0.210171	480	0.95	
490	0.002258	490	1	
500	0.000134	500	1	
510	0.002288	510	1	
520	0.00452	520	1	
530	0.107496	530	0.96	
540	0.013684	540	1	
550	0.613862	550	0.92	
560	0.054709	560	0.98	
570	0.159727	570	0.97	
580	0.004938	580	1	
590	0.105352	590	0.97	
600	0.006301	600	1	
610	0.098694	610	0.97	
620	0.000071	620	1	
630	0.042065	630	0.99	
640	0.003387	640	1	
650	0.103325	650	0.98	
660	0.000308	660	1	
670	0.175647	670	0.93	
680	0.03501	680	0.99	
690	0.000284	690	1	
700	0.156033	700	0.94	
710	0.000812	710	1	
720	0.001075	720	1	
730	0.001118	730	1	
740	0.000203	740	1	
750	0.01019	750	1	
760	0.023485	760	0.99	
770	0.003215	770	1	
780	0.000463	780	1	
790	0.049988	790	0.98	
800	0.040043	800	0.98	
810	0.001054	810	1	
820	0.01103	820	1	
830	0.007945	830	1	
840	0.081936	840	0.96	
850	0.001033	850	1	
860	0.070178	860	0.99	
870	0.005477	870	1	
880	0.009963	880	1	
890	0.000273	890	1	
900	0.577056	900	0.88	
910	0.08448	910	0.96	
920	0.021905	920	1	
930	0.000659	930	1	
940	0.020326	940	0.99	
950	0.002259	950	1	
960	0.115427	960	0.96	
970	0.001074	970	1	
980	0.067255	980	0.97	
990	0.001261	990	1	
1000	0.000221	1000	1	
1010	0.095608	1010	0.97	
1020	0.00956	1020	1	
1030	0.002742	1030	1	
1040	0.174264	1040	0.96	
1050	0.002409	1050	1	
1060	0.000605	1060	1	
1070	0.017603	1070	0.99	
1080	0.006509	1080	1	
1090	0.000607	1090	1	
1100	0.78114	1100	0.87	
