TrainStep,Cifar10-Loss,Cifar20-Loss,Cifar100-Loss,TrainStep,Cifar10-Accuracy,Cifar20-Accuracy,Cifar100-Accuracy
10,2.293583,2.996341,4.605372,10,0.21,0.11,0
20,2.292928,2.988761,4.609689,20,0.16,0.06,0.01
30,2.299008,2.992931,4.606787,30,0.16,0.11,0.01
40,2.28662,2.99348,4.602001,40,0.19,0.06,0.04
50,2.231798,2.968605,4.612575,50,0.24,0.2,0.05
60,2.172064,2.956321,4.564101,60,0.22,0.15,0.04
70,2.133796,2.923281,4.599978,70,0.33,0.14,0.05
80,2.033567,2.819075,4.579102,80,0.33,0.2,0.05
90,1.932696,2.797476,4.500215,90,0.35,0.25,0.1
100,1.990749,2.748165,4.351761,100,0.35,0.23,0.1
110,2.017714,2.820442,4.365521,110,0.44,0.21,0.07
120,2.057538,2.739185,4.50776,120,0.33,0.3,0.07
130,1.988247,2.638371,4.349072,130,0.4,0.34,0.12
140,1.803984,3.020378,4.089719,140,0.42,0.22,0.17
150,1.760759,2.843826,4.255679,150,0.51,0.32,0.09
160,1.92081,2.677588,4.248493,160,0.55,0.24,0.14
170,1.917327,2.927391,4.318307,170,0.4,0.23,0.14
180,1.70654,2.896916,4.238508,180,0.53,0.25,0.15
190,1.709183,2.635669,3.974174,190,0.51,0.35,0.19
200,1.7446,2.518226,4.180788,200,0.53,0.43,0.1
210,1.670919,2.596812,3.926254,210,0.58,0.33,0.22
220,1.638572,2.635117,4.075079,220,0.56,0.41,0.23
230,1.509136,2.578132,3.919229,230,0.6,0.41,0.23
240,1.740369,2.206398,3.77323,240,0.52,0.44,0.26
250,1.602444,2.511795,3.985207,250,0.56,0.35,0.23
260,1.508485,2.484381,3.743846,260,0.6,0.45,0.26
270,1.696661,2.244163,3.72258,270,0.49,0.45,0.28
280,1.513528,2.402209,3.75434,280,0.61,0.47,0.26
290,1.430752,2.695855,3.820517,290,0.62,0.32,0.32
300,1.376596,2.305757,3.776195,300,0.62,0.47,0.18
310,1.48003,2.60002,3.528765,310,0.69,0.39,0.33
320,1.696967,2.24565,3.679397,320,0.54,0.57,0.3
330,1.410742,2.557237,3.772256,330,0.68,0.33,0.29
340,1.493059,2.567979,3.537422,340,0.58,0.4,0.28
350,1.160579,2.160414,3.627256,350,0.74,0.46,0.28
360,1.926419,2.311147,3.335682,360,0.46,0.43,0.41
370,1.399034,2.307015,3.765387,370,0.58,0.4,0.36
380,1.531981,2.361566,3.778059,380,0.55,0.48,0.33
390,1.282499,2.254341,3.498812,390,0.7,0.44,0.34
400,1.284508,2.357333,3.553056,400,0.76,0.49,0.28
410,1.531354,2.167773,3.398378,410,0.69,0.53,0.43
420,1.11146,2.246505,3.74669,420,0.7,0.54,0.35
430,1.112523,2.189711,3.207312,430,0.79,0.55,0.5
440,1.550738,2.294257,3.418942,440,0.66,0.4,0.36
450,1.54654,2.463086,3.340226,450,0.6,0.44,0.38
460,1.235222,2.35865,3.504908,460,0.7,0.47,0.44
470,1.292225,2.335948,3.413436,470,0.73,0.54,0.34
480,1.306355,2.130432,3.406785,480,0.72,0.57,0.4
490,1.325429,2.044202,3.131909,490,0.64,0.63,0.48
500,1.245103,2.047694,3.273417,500,0.72,0.58,0.44
510,1.305622,2.272268,3.248995,510,0.67,0.53,0.37
520,1.12745,1.975495,3.397497,520,0.79,0.55,0.39
530,1.271667,2.101592,3.416731,530,0.75,0.56,0.42
540,1.209203,2.371547,3.248091,540,0.71,0.46,0.42
550,1.121354,1.881188,3.360591,550,0.81,0.59,0.47
560,1.160583,2.089401,3.42995,560,0.83,0.57,0.46
570,1.346845,2.128335,3.324758,570,0.67,0.48,0.49
580,1.459047,2.199964,3.308584,580,0.7,0.54,0.51
590,1.21819,2.277445,3.344553,590,0.77,0.51,0.4
600,1.240171,2.15907,3.269114,600,0.76,0.57,0.37
610,1.315467,2.242571,3.276368,610,0.8,0.54,0.44
620,1.19265,1.868982,3.19733,620,0.8,0.7,0.4
630,1.134766,1.990005,3.121819,630,0.79,0.61,0.41
640,1.003227,2.141008,2.905422,640,0.81,0.57,0.47
650,1.09316,2.06069,3.41713,650,0.82,0.58,0.48
660,1.219473,2.224268,3.226411,660,0.78,0.54,0.53
670,1.133377,2.426749,3.292766,670,0.81,0.44,0.42
680,1.224583,1.968752,3.047267,680,0.81,0.65,0.53
690,1.145385,2.203238,2.753522,690,0.8,0.57,0.65
700,1.222605,2.051553,3.404635,700,0.76,0.64,0.46
710,1.269376,2.169369,2.885463,710,0.73,0.52,0.52
720,1.217372,2.034984,3.090856,720,0.75,0.58,0.5
730,1.11902,1.902081,3.178365,730,0.77,0.61,0.39
740,1.085238,1.974897,3.231484,740,0.82,0.66,0.47
750,0.946534,1.954444,3.025968,750,0.82,0.63,0.6
760,1.051412,2.045789,3.012827,760,0.84,0.6,0.5
770,0.890745,1.991423,3.046141,770,0.88,0.59,0.48
780,1.248669,2.104748,3.023966,780,0.71,0.68,0.51
